kolo,dan,datum,ura,lestvica_domaci,domaca_ekipa,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,zadetki_gostje
12,sobota,11/2/19,9:00 PM,2,Real Madrid,16,Real Betis,0,0
12,nedelja,11/3/19,12:00 PM,13,Real Valladolid,17,RCD Mallorca,3,0
12,nedelja,11/3/19,2:00 PM,7,Villarreal,8,Athletic,0,0
12,nedelja,11/3/19,4:00 PM,10,CA Osasuna,14,Alavés,4,2
12,nedelja,11/3/19,6:30 PM,18,Celta de Vigo,9,Getafe,0,1
12,nedelja,11/3/19,6:30 PM,20,CD Leganés,15,SD Eibar,1,2
12,nedelja,11/3/19,9:00 PM,5,Granada CF,6,Real Sociedad,1,2
13,petek,11/8/19,9:00 PM,3,Real Sociedad,20,CD Leganés,1,1
13,sobota,11/9/19,1:00 PM,16,Alavés,13,Real Valladolid,3,0
13,sobota,11/9/19,4:00 PM,11,Valencia,6,Granada CF,2,0
13,sobota,11/9/19,6:30 PM,14,SD Eibar,2,Real Madrid,0,4
13,sobota,11/9/19,9:00 PM,1,FC Barcelona,18,Celta de Vigo,4,1
13,nedelja,11/10/19,12:00 PM,17,RCD Mallorca,9,Villarreal,3,1
13,nedelja,11/10/19,2:00 PM,12,Athletic,10,Levante,2,1
13,nedelja,11/10/19,4:00 PM,4,Atlético Madrid,19,Espanyol,3,1
13,nedelja,11/10/19,6:30 PM,7,Getafe,8,CA Osasuna,0,0
13,nedelja,11/10/19,9:00 PM,15,Real Betis,5,Sevilla FC,1,2
14,petek,11/22/19,9:00 PM,12,Levante,16,RCD Mallorca,2,1
14,sobota,11/23/19,1:00 PM,20,CD Leganés,1,FC Barcelona,1,2
14,sobota,11/23/19,4:00 PM,17,Real Betis,6,Valencia,2,1
14,sobota,11/23/19,6:30 PM,9,Granada CF,3,Atlético Madrid,1,1
14,sobota,11/23/19,9:00 PM,2,Real Madrid,5,Real Sociedad,3,1
14,nedelja,11/24/19,12:00 PM,19,Espanyol,7,Getafe,1,1
14,nedelja,11/24/19,2:00 PM,10,CA Osasuna,8,Athletic,1,2
14,nedelja,11/24/19,4:00 PM,15,SD Eibar,14,Alavés,0,2
14,nedelja,11/24/19,6:30 PM,11,Villarreal,18,Celta de Vigo,1,3
14,nedelja,11/24/19,9:00 PM,13,Real Valladolid,4,Sevilla FC,0,1
15,petek,11/29/19,9:00 PM,18,Celta de Vigo,14,Real Valladolid,0,0
15,sobota,11/30/19,1:00 PM,13,Alavés,2,Real Madrid,1,2
15,sobota,11/30/19,4:00 PM,6,Real Sociedad,16,SD Eibar,4,1
15,sobota,11/30/19,6:30 PM,17,RCD Mallorca,15,Real Betis,1,2
15,sobota,11/30/19,9:00 PM,10,Valencia,12,Villarreal,2,1
15,nedelja,12/1/19,12:00 PM,3,Sevilla FC,20,CD Leganés,1,0
15,nedelja,12/1/19,2:00 PM,5,Athletic,8,Granada CF,2,0
15,nedelja,12/1/19,4:00 PM,19,Espanyol,11,CA Osasuna,2,4
15,nedelja,12/1/19,6:30 PM,7,Getafe,9,Levante,4,0
15,nedelja,12/1/19,9:00 PM,4,Atlético Madrid,1,FC Barcelona,0,1
16,petek,12/6/19,9:00 PM,13,Villarreal,6,Atlético Madrid,0,0
16,sobota,12/7/19,1:00 PM,2,Real Madrid,19,Espanyol,2,0
16,sobota,12/7/19,4:00 PM,10,Granada CF,14,Alavés,3,0
16,sobota,12/7/19,6:30 PM,11,Levante,8,Valencia,2,4
16,sobota,12/7/19,9:00 PM,1,FC Barcelona,17,RCD Mallorca,5,2
16,nedelja,12/8/19,12:00 PM,16,SD Eibar,7,Getafe,0,1
16,nedelja,12/8/19,2:00 PM,12,Real Betis,4,Athletic,3,2
16,nedelja,12/8/19,4:00 PM,15,Real Valladolid,5,Real Sociedad,0,0
16,nedelja,12/8/19,6:30 PM,20,CD Leganés,18,Celta de Vigo,3,2
16,nedelja,12/8/19,9:00 PM,9,CA Osasuna,3,Sevilla FC,1,1
17,petek,12/13/19,9:00 PM,15,Alavés,19,CD Leganés,1,1
17,sobota,12/14/19,1:00 PM,9,Granada CF,12,Levante,1,2
17,sobota,12/14/19,4:00 PM,5,Real Sociedad,1,FC Barcelona,2,2
17,sobota,12/14/19,6:30 PM,8,Athletic,16,SD Eibar,0,0
17,sobota,12/14/19,9:00 PM,6,Atlético Madrid,10,CA Osasuna,2,0
17,nedelja,12/15/19,12:00 PM,4,Getafe,14,Real Valladolid,2,0
17,nedelja,12/15/19,2:00 PM,18,Celta de Vigo,17,RCD Mallorca,2,2
17,nedelja,12/15/19,4:00 PM,20,Espanyol,11,Real Betis,2,2
17,nedelja,12/15/19,6:30 PM,3,Sevilla FC,13,Villarreal,1,2
17,nedelja,12/15/19,9:00 PM,7,Valencia,2,Real Madrid,1,1
18,petek,12/20/19,9:00 PM,16,SD Eibar,9,Granada CF,3,0
18,sobota,12/21/19,1:00 PM,17,RCD Mallorca,3,Sevilla FC,0,2
18,sobota,12/21/19,4:00 PM,1,FC Barcelona,14,Alavés,4,1
18,sobota,12/21/19,6:30 PM,13,Villarreal,4,Getafe,1,0
18,sobota,12/21/19,9:00 PM,15,Real Valladolid,7,Valencia,1,1
18,nedelja,12/22/19,12:00 PM,19,CD Leganés,20,Espanyol,2,0
18,nedelja,12/22/19,2:00 PM,11,CA Osasuna,6,Real Sociedad,3,4
18,nedelja,12/22/19,4:00 PM,10,Real Betis,5,Atlético Madrid,1,2
18,nedelja,12/22/19,6:30 PM,12,Levante,18,Celta de Vigo,3,1
18,nedelja,12/22/19,9:00 PM,2,Real Madrid,8,Athletic,0,0
19,petek,1/3/20,7:00 PM,14,Real Valladolid,19,CD Leganés,2,2
19,petek,1/3/20,9:00 PM,3,Sevilla FC,8,Athletic,1,1
19,sobota,1/4/20,1:00 PM,7,Valencia,16,SD Eibar,1,0
19,sobota,1/4/20,4:00 PM,6,Getafe,2,Real Madrid,0,3
19,sobota,1/4/20,6:30 PM,4,Atlético Madrid,9,Levante,2,1
19,sobota,1/4/20,9:00 PM,20,Espanyol,1,FC Barcelona,2,2
19,nedelja,1/5/20,12:00 PM,11,Granada CF,17,RCD Mallorca,1,0
19,nedelja,1/5/20,2:00 PM,5,Real Sociedad,10,Villarreal,1,2
19,nedelja,1/5/20,4:00 PM,15,Alavés,13,Real Betis,1,1
19,nedelja,1/5/20,9:00 PM,18,Celta de Vigo,12,CA Osasuna,1,1
20,petek,1/17/20,9:00 PM,19,CD Leganés,7,Getafe,0,3
20,sobota,1/18/20,1:00 PM,11,Levante,15,Alavés,0,1
20,sobota,1/18/20,4:00 PM,2,Real Madrid,4,Sevilla FC,2,1
20,sobota,1/18/20,6:30 PM,12,CA Osasuna,14,Real Valladolid,0,0
20,sobota,1/18/20,9:00 PM,16,SD Eibar,3,Atlético Madrid,2,0
20,nedelja,1/19/20,12:00 PM,17,RCD Mallorca,6,Valencia,4,1
20,nedelja,1/19/20,2:00 PM,13,Real Betis,5,Real Sociedad,3,0
20,nedelja,1/19/20,4:00 PM,9,Villarreal,20,Espanyol,1,2
20,nedelja,1/19/20,6:30 PM,8,Athletic,18,Celta de Vigo,1,1
20,nedelja,1/19/20,9:00 PM,1,FC Barcelona,10,Granada CF,1,0
21,petek,1/24/20,9:00 PM,13,CA Osasuna,12,Levante,2,0
21,sobota,1/25/20,1:00 PM,20,Espanyol,8,Athletic,1,1
21,sobota,1/25/20,4:00 PM,7,Valencia,1,FC Barcelona,2,0
21,sobota,1/25/20,6:30 PM,14,Alavés,9,Villarreal,1,2
21,sobota,1/25/20,9:00 PM,4,Sevilla FC,10,Granada CF,2,0
21,nedelja,1/26/20,12:00 PM,3,Atlético Madrid,19,CD Leganés,0,0
21,nedelja,1/26/20,2:00 PM,18,Celta de Vigo,16,SD Eibar,0,0
21,nedelja,1/26/20,4:00 PM,5,Getafe,11,Real Betis,1,0
21,nedelja,1/26/20,6:30 PM,6,Real Sociedad,17,RCD Mallorca,3,0
21,nedelja,1/26/20,9:00 PM,15,Real Valladolid,2,Real Madrid,0,1
22,sobota,2/1/20,1:00 PM,11,Granada CF,20,Espanyol,2,1
22,sobota,2/1/20,4:00 PM,1,Real Madrid,4,Atlético Madrid,1,0
22,sobota,2/1/20,6:30 PM,17,RCD Mallorca,16,Real Valladolid,0,1
22,sobota,2/1/20,9:00 PM,7,Valencia,18,Celta de Vigo,1,0
22,nedelja,2/2/20,12:00 PM,19,CD Leganés,6,Real Sociedad,2,1
22,nedelja,2/2/20,2:00 PM,15,SD Eibar,12,Real Betis,1,1
22,nedelja,2/2/20,4:00 PM,9,Athletic,5,Getafe,0,2
22,nedelja,2/2/20,6:30 PM,3,Sevilla FC,14,Alavés,1,1
22,nedelja,2/2/20,6:30 PM,8,Villarreal,10,CA Osasuna,3,1
22,nedelja,2/2/20,9:00 PM,2,FC Barcelona,13,Levante,2,1
23,petek,2/7/20,9:00 PM,15,Alavés,16,SD Eibar,2,1
23,sobota,2/8/20,1:00 PM,13,Levante,17,CD Leganés,2,0
23,sobota,2/8/20,4:00 PM,4,Getafe,5,Valencia,3,0
23,sobota,2/8/20,6:30 PM,14,Real Valladolid,7,Villarreal,1,1
23,sobota,2/8/20,9:00 PM,6,Atlético Madrid,10,Granada CF,1,0
23,nedelja,2/9/20,12:00 PM,20,Espanyol,18,RCD Mallorca,1,0
23,nedelja,2/9/20,2:00 PM,8,Real Sociedad,9,Athletic,2,1
23,nedelja,2/9/20,4:00 PM,11,CA Osasuna,1,Real Madrid,1,4
23,nedelja,2/9/20,6:30 PM,19,Celta de Vigo,3,Sevilla FC,2,1
23,nedelja,2/9/20,9:00 PM,12,Real Betis,2,FC Barcelona,2,3
24,petek,2/14/20,9:00 PM,7,Valencia,4,Atlético Madrid,2,2
24,sobota,2/15/20,1:00 PM,19,RCD Mallorca,14,Alavés,1,0
24,sobota,2/15/20,4:00 PM,2,FC Barcelona,3,Getafe,2,1
24,sobota,2/15/20,6:30 PM,8,Villarreal,11,Levante,2,1
24,sobota,2/15/20,9:00 PM,10,Granada CF,15,Real Valladolid,2,1
24,nedelja,2/16/20,12:00 PM,5,Sevilla FC,20,Espanyol,2,2
24,nedelja,2/16/20,2:00 PM,18,CD Leganés,13,Real Betis,0,0
24,nedelja,2/16/20,6:30 PM,9,Athletic,12,CA Osasuna,0,1
24,nedelja,2/16/20,9:00 PM,1,Real Madrid,17,Celta de Vigo,2,2
24,torek,3/10/20,8:00 PM,16,SD Eibar,6,Real Sociedad,1,2
25,petek,2/21/20,9:00 PM,12,Real Betis,17,RCD Mallorca,3,3
25,sobota,2/22/20,1:00 PM,18,Celta de Vigo,19,CD Leganés,1,0
25,sobota,2/22/20,4:00 PM,2,FC Barcelona,16,SD Eibar,5,0
25,sobota,2/22/20,6:30 PM,5,Real Sociedad,7,Valencia,3,0
25,sobota,2/22/20,9:00 PM,13,Levante,1,Real Madrid,1,0
25,nedelja,2/23/20,12:00 PM,11,CA Osasuna,9,Granada CF,0,3
25,nedelja,2/23/20,2:00 PM,14,Alavés,10,Athletic,2,1
25,nedelja,2/23/20,4:00 PM,15,Real Valladolid,20,Espanyol,2,1
25,nedelja,2/23/20,6:30 PM,3,Getafe,4,Sevilla FC,0,3
25,nedelja,2/23/20,9:00 PM,6,Atlético Madrid,8,Villarreal,3,1
26,petek,2/28/20,9:00 PM,4,Real Sociedad,15,Real Valladolid,1,0
26,sobota,2/29/20,1:00 PM,16,SD Eibar,10,Levante,3,0
26,sobota,2/29/20,4:00 PM,7,Valencia,13,Real Betis,2,1
26,sobota,2/29/20,6:30 PM,19,CD Leganés,14,Alavés,1,1
26,sobota,2/29/20,9:00 PM,9,Granada CF,17,Celta de Vigo,0,0
26,nedelja,3/1/20,12:00 PM,3,Sevilla FC,12,CA Osasuna,3,2
26,nedelja,3/1/20,2:00 PM,11,Athletic,8,Villarreal,1,0
26,nedelja,3/1/20,4:00 PM,20,Espanyol,5,Atlético Madrid,1,1
26,nedelja,3/1/20,6:30 PM,18,RCD Mallorca,6,Getafe,0,1
26,nedelja,3/1/20,9:00 PM,2,Real Madrid,1,FC Barcelona,2,0
27,petek,3/6/20,9:00 PM,13,Alavés,7,Valencia,1,1
27,sobota,3/7/20,1:00 PM,16,SD Eibar,18,RCD Mallorca,1,2
27,sobota,3/7/20,4:00 PM,6,Atlético Madrid,3,Sevilla FC,2,2
27,sobota,3/7/20,6:30 PM,2,FC Barcelona,4,Real Sociedad,1,0
27,sobota,3/7/20,9:00 PM,5,Getafe,17,Celta de Vigo,0,0
27,nedelja,3/8/20,12:00 PM,12,CA Osasuna,20,Espanyol,1,0
27,nedelja,3/8/20,2:00 PM,15,Real Valladolid,10,Athletic,1,4
27,nedelja,3/8/20,4:00 PM,11,Levante,9,Granada CF,1,1
27,nedelja,3/8/20,6:30 PM,8,Villarreal,19,CD Leganés,1,2
27,nedelja,3/8/20,9:00 PM,14,Real Betis,1,Real Madrid,2,1
28,četrtek,6/11/20,10:00 PM,3,Sevilla FC,12,Real Betis,2,0
28,petek,6/12/20,7:30 PM,8,Granada CF,4,Getafe,2,1
28,petek,6/12/20,10:00 PM,7,Valencia,13,Levante,1,1
28,sobota,6/13/20,2:00 PM,20,Espanyol,14,Alavés,2,0
28,sobota,6/13/20,5:00 PM,17,Celta de Vigo,9,Villarreal,0,1
28,sobota,6/13/20,7:30 PM,19,CD Leganés,15,Real Valladolid,1,2
28,sobota,6/13/20,10:00 PM,18,RCD Mallorca,1,FC Barcelona,0,4
28,nedelja,6/14/20,2:00 PM,10,Athletic,6,Atlético Madrid,1,1
28,nedelja,6/14/20,7:30 PM,2,Real Madrid,16,SD Eibar,3,1
28,nedelja,6/14/20,10:00 PM,5,Real Sociedad,11,CA Osasuna,1,1
29,ponedeljek,6/15/20,7:30 PM,12,Levante,3,Sevilla FC,1,1
29,ponedeljek,6/15/20,10:00 PM,13,Real Betis,8,Granada CF,2,2
