kolo,dan,datum,ura,id_domaci,lestvica_domaci,domaca_ekipa,id_gostje,lestvica_gostje,gostujoca_ekipa,zadetki_domaci,tocke_domaci,zadetki_gostje,tocke_gostje,razlika_ekip,visja_na_lestvici,nizja_na_lestvici,remi
23,sobota,2/8/20,6:00 PM,416,12,Torino,1038,16,Sampdoria,1,0,3,3,4,12,16,0
23,sobota,2/8/20,8:45 PM,276,9,Hellas Verona,506,1,Juventus,2,3,1,0,8,1,9,0
23,nedelja,2/9/20,12:30 PM,2722,20,SPAL,6574,13,Sassuolo,1,0,2,3,7,13,20,0
23,nedelja,2/9/20,3:00 PM,252,18,Genoa,1390,7,Cagliari Calcio,1,3,0,0,11,7,18,0
23,nedelja,2/9/20,3:00 PM,6195,11,SSC Napoli,1005,17,Lecce,2,0,3,3,6,11,17,0
23,nedelja,2/9/20,3:00 PM,19,19,Brescia,410,15,Udinese Calcio,1,1,1,1,4,15,19,1
23,nedelja,2/9/20,6:00 PM,130,8,Parma,398,3,Lazio,0,0,1,3,5,3,8,0
23,nedelja,2/9/20,8:45 PM,46,2,Inter,5,6,AC Milan,4,3,2,0,4,2,6,0
24,sobota,2/15/20,3:00 PM,1005,17,Lecce,2722,20,SPAL,2,3,1,0,3,17,20,0
24,sobota,2/15/20,6:00 PM,1025,7,Bologna,252,18,Genoa,0,0,3,3,11,7,18,0
24,sobota,2/15/20,8:45 PM,800,4,Atalanta,12,5,AS Roma,2,3,1,0,1,4,5,0
